county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,7.3,10.5,119.81,Medium,2022-08-18,1660806000
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,5.5,4.3,204.95,Medium,2022-08-18,1660806000
Kern County,06029,California,900202,807,"Kern, CA",900202,8.2,37.8,229.17,High,2022-08-18,1660806000
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,4.5,8.9,22.62,Low,2022-08-18,1660806000
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.4,10.9,258.03,High,2022-08-18,1660806000
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,9.2,15.4,184.40,Medium,2022-08-18,1660806000
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,5.7,8.8,210.58,Medium,2022-08-18,1660806000
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.3,8.7,168.23,Low,2022-08-18,1660806000
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,4.5,8.9,141.60,Low,2022-08-18,1660806000
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,4.4,12.7,66.56,Medium,2022-08-18,1660806000
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.3,8.1,156.98,Low,2022-08-18,1660806000
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,5.3,9.6,158.26,Low,2022-08-18,1660806000
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.9,12.7,200.84,High,2022-08-18,1660806000
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,3.7,5.9,0.00,Low,2022-08-18,1660806000
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,5.3,9.6,198.01,Low,2022-08-18,1660806000
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.9,12.7,116.03,Medium,2022-08-18,1660806000
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,5.3,9.6,133.84,Low,2022-08-18,1660806000
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,5.7,8.8,427.67,Medium,2022-08-18,1660806000
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,5.9,8.9,252.19,Medium,2022-08-18,1660806000
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.9,14.3,325.44,High,2022-08-18,1660806000
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.3,8.1,160.73,Low,2022-08-18,1660806000
Orange County,06059,California,3175692,825,"Orange, CA",3175692,6.0,11.4,188.43,Medium,2022-08-18,1660806000
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,5.3,6.6,230.40,Medium,2022-08-18,1660806000
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.9,12.7,237.18,High,2022-08-18,1660806000
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.0,13.6,169.61,Medium,2022-08-18,1660806000
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,7.3,10.5,193.70,Medium,2022-08-18,1660806000
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,5.7,9.7,221.67,Medium,2022-08-18,1660806000
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.9,14.3,270.69,High,2022-08-18,1660806000
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.7,0.0,438.30,Medium,2022-08-18,1660806000
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,8.0,15.0,191.36,Medium,2022-08-18,1660806000
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,4.4,12.7,117.29,Medium,2022-08-18,1660806000
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.7,0.0,106.34,Low,2022-08-18,1660806000
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,5.3,6.6,221.21,Medium,2022-08-18,1660806000
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.4,10.9,277.03,High,2022-08-18,1660806000
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,6.6,9.0,183.32,Low,2022-08-18,1660806000
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,6.6,9.0,231.36,Medium,2022-08-18,1660806000
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.4,10.9,198.72,Medium,2022-08-18,1660806000
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,5.2,9.9,121.73,Low,2022-08-18,1660806000
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,8.6,15.0,210.66,High,2022-08-18,1660806000
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,8.6,15.0,233.12,High,2022-08-18,1660806000
Ventura County,06111,California,846006,790,"Ventura, CA",846006,7.6,12.4,204.14,High,2022-08-18,1660806000
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.8,11.9,213.18,High,2022-08-11,1660201200
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.9,15.1,103.71,Medium,2022-08-11,1660201200
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,13.6,19.3,268.34,High,2022-08-11,1660201200
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,7.2,10.3,202.13,High,2022-08-11,1660201200
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,2.5,9.2,144.13,Low,2022-08-11,1660201200
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,9.0,16.8,173.95,Medium,2022-08-11,1660201200
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.3,17.0,174.39,Medium,2022-08-11,1660201200
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.3,17.0,235.88,High,2022-08-11,1660201200
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,2.5,9.2,62.31,Low,2022-08-11,1660201200
